序号,综合评价,排名
4462,0.4938,666
4794,0.4937,667
1565,0.4929,668
4596,0.4929,669
2898,0.4929,670
4022,0.4929,671
1396,0.4926,672
1591,0.4926,673
2974,0.4924,674
1067,0.4924,675
2163,0.4920,676
4007,0.4916,677
4585,0.4913,678
803,0.4913,679
1160,0.4911,680
3771,0.4909,681
1965,0.4907,682
4170,0.4902,683
2559,0.4902,684
2349,0.4900,685
3231,0.4898,686
1472,0.4897,687
4599,0.4895,688
2071,0.4889,689
530,0.4889,690
2304,0.4888,691
4066,0.4885,692
952,0.4883,693
313,0.4876,694
4938,0.4876,695
3788,0.4875,696
474,0.4874,697
243,0.4872,698
4057,0.4869,699
3666,0.4868,700
3503,0.4865,701
188,0.4862,702
5380,0.4861,703
4042,0.4860,704
970,0.4858,705
3152,0.4850,706
4528,0.4846,707
2583,0.4845,708
2542,0.4843,709
2722,0.4842,710
1161,0.4838,711
3881,0.4835,712
207,0.4832,713
5204,0.4831,714
4830,0.4828,715
4563,0.4828,716
3892,0.4828,717
326,0.4827,718
4817,0.4826,719
203,0.4825,720
834,0.4822,721
509,0.4822,722
2843,0.4821,723
1220,0.4819,724
4451,0.4818,725
1330,0.4814,726
176,0.4806,727
3077,0.4804,728
3499,0.4802,729
1365,0.4801,730
416,0.4797,731
1368,0.4797,732
3344,0.4794,733
2265,0.4793,734
2573,0.4792,735
812,0.4790,736
5099,0.4789,737
5151,0.4788,738
668,0.4787,739
5343,0.4787,740
889,0.4787,741
5172,0.4785,742
2381,0.4783,743
2329,0.4782,744
3121,0.4781,745
5284,0.4778,746
1487,0.4773,747
4569,0.4772,748
2617,0.4768,749
5378,0.4768,750
1687,0.4766,751
5006,0.4763,752
477,0.4763,753
4449,0.4761,754
4093,0.4760,755
5322,0.4759,756
4670,0.4758,757
2393,0.4757,758
3893,0.4756,759
2762,0.4752,760
2041,0.4752,761
105,0.4752,762
2473,0.4748,763
1761,0.4748,764
4568,0.4743,765
3326,0.4738,766
2758,0.4737,767
1405,0.4736,768
3263,0.4734,769
1926,0.4730,770
2037,0.4729,771
1029,0.4726,772
3185,0.4725,773
3068,0.4725,774
5333,0.4722,775
4827,0.4721,776
4016,0.4721,777
1990,0.4719,778
3678,0.4718,779
201,0.4715,780
2423,0.4712,781
611,0.4710,782
4929,0.4704,783
2867,0.4703,784
2931,0.4702,785
5141,0.4702,786
4594,0.4701,787
2119,0.4696,788
3128,0.4695,789
1557,0.4695,790
3319,0.4692,791
1402,0.4691,792
429,0.4689,793
1846,0.4687,794
347,0.4686,795
2708,0.4682,796
1635,0.4682,797
3287,0.4678,798
5300,0.4677,799
4828,0.4677,800
5012,0.4676,801
126,0.4676,802
288,0.4670,803
5290,0.4669,804
